id_madrasah,nama,jenjang,status,provinsi,daerah,akreditasi,jumlah_siswa,jumlah_guru,rasio_siswa_guru,persen_guru_sertifikasi,akses_internet_mbps,perpustakaan,lab_komputer,rata_nilai_pai
MDR00117,MMI Aceh 0117,MI,Swasta,Aceh,Perkotaan,C,253,13,19.46,30.7,32.1,0,0,75.3
MDR00118,MMTs Jawa 0118,MTs,Swasta,Jawa Tengah,Pedesaan,B,240,17,14.12,44.8,8.2,1,1,67.8
MDR00119,MMI Kalimantan 0119,MI,Swasta,Kalimantan Selatan,Perkotaan,B,140,9,15.56,49.7,70.6,1,0,77.9
MDR00120,MMI Sulawesi 0120,MI,Negeri,Sulawesi Selatan,3T,C,107,13,8.23,58.6,1.9,1,1,64.9
MDR00121,MMTs Sumatera 0121,MTs,Swasta,Sumatera Selatan,Pedesaan,B,382,32,11.94,36.1,2.5,1,0,62.3
MDR00122,MMI Kalimantan 0122,MI,Swasta,Kalimantan Selatan,Perkotaan,A,30,4,7.5,61.9,44.1,0,1,81.7
MDR00123,MMI Kalimantan 0123,MI,Negeri,Kalimantan Selatan,Pedesaan,B,217,11,19.73,66.0,12.5,1,1,78.2
MDR00124,MMI Riau 0124,MI,Swasta,Riau,Pedesaan,Belum Terakreditasi,225,13,17.31,22.5,9.2,1,0,66.3
MDR00125,MMTs Aceh 0125,MTs,Swasta,Aceh,Perkotaan,C,246,12,20.5,25.7,62.8,1,1,73.6
MDR00126,MMI Kalimantan 0126,MI,Negeri,Kalimantan Selatan,Pedesaan,B,240,18,13.33,65.7,16.6,1,0,80.5
MDR00127,MMI Sumatera 0127,MI,Swasta,Sumatera Selatan,Pedesaan,A,181,11,16.45,46.1,9.0,1,1,77.1
MDR00128,MMI Jawa 0128,MI,Swasta,Jawa Tengah,Perkotaan,B,235,16,14.69,45.9,61.8,1,1,71.1
MDR00129,MMTs DI 0129,MTs,Swasta,DI Yogyakarta,Perkotaan,C,223,12,18.58,42.6,18.4,0,0,68.8
MDR00130,MMI DI 0130,MI,Swasta,DI Yogyakarta,Perkotaan,C,184,10,18.4,43.7,41.0,1,0,70.9
MDR00131,MMI Jawa 0131,MI,Swasta,Jawa Timur,Pedesaan,A,241,16,15.06,52.6,15.7,1,1,83.3
MDR00132,MMI Jawa 0132,MI,Negeri,Jawa Barat,Pedesaan,B,347,26,13.35,71.3,2.3,0,1,74.4
MDR00133,MMTs Jambi 0133,MTs,Negeri,Jambi,3T,Belum Terakreditasi,246,30,8.2,48.9,0.3,0,0,61.9
MDR00134,MMTs Sumatera 0134,MTs,Negeri,Sumatera Utara,Perkotaan,A,315,15,21.0,76.4,34.7,1,1,84.3
MDR00135,MMTs Sumatera 0135,MTs,Swasta,Sumatera Utara,Pedesaan,C,418,28,14.93,41.1,16.3,1,0,62.4
MDR00136,MMTs Bali 0136,MTs,Negeri,Bali,Pedesaan,C,292,14,20.86,56.1,16.9,0,1,69.1
MDR00137,MMI Sumatera 0137,MI,Swasta,Sumatera Utara,Pedesaan,C,229,12,19.08,22.2,16.0,1,1,63.4
MDR00138,MMI DKI 0138,MI,Swasta,DKI Jakarta,Pedesaan,B,117,5,23.4,30.6,9.7,1,0,83.5
MDR00139,MMI Sumatera 0139,MI,Swasta,Sumatera Selatan,3T,B,96,11,8.73,44.3,3.4,1,0,64.0
MDR00140,MMI Banten 0140,MI,Swasta,Banten,3T,B,51,4,12.75,49.5,4.4,1,1,69.1
MDR00141,MMTs Jawa 0141,MTs,Swasta,Jawa Timur,Pedesaan,C,292,14,20.86,22.3,6.6,0,0,62.8
MDR00142,MMTs Aceh 0142,MTs,Negeri,Aceh,Perkotaan,B,279,23,12.13,63.3,57.4,1,0,77.8
MDR00143,MMTs Aceh 0143,MTs,Negeri,Aceh,Pedesaan,C,381,18,21.17,45.2,5.1,0,0,77.2
MDR00144,MMTs Jawa 0144,MTs,Negeri,Jawa Timur,Pedesaan,B,344,28,12.29,61.4,19.0,1,0,77.3
MDR00145,MMTs Lampung 0145,MTs,Swasta,Lampung,Pedesaan,A,277,17,16.29,56.1,11.2,0,1,82.6
MDR00146,MMI Riau 0146,MI,Swasta,Riau,Perkotaan,B,150,11,13.64,49.9,32.3,1,1,74.5
MDR00147,MMA DI 0147,MA,Negeri,DI Yogyakarta,Perkotaan,C,374,23,16.26,50.6,48.6,0,0,71.3
MDR00148,MMTs Sulawesi 0148,MTs,Swasta,Sulawesi Selatan,Perkotaan,C,330,16,20.62,28.3,43.7,1,0,64.7
MDR00149,MMA Banten 0149,MA,Swasta,Banten,Perkotaan,Belum Terakreditasi,124,6,20.67,26.9,67.1,1,0,73.0
MDR00150,MMI Jawa 0150,MI,Negeri,Jawa Barat,Perkotaan,Belum Terakreditasi,340,19,17.89,30.9,15.0,1,1,70.9
MDR00151,MMTs Lampung 0151,MTs,Swasta,Lampung,Pedesaan,B,424,29,14.62,52.7,6.1,1,1,70.7
MDR00152,MMTs DKI 0152,MTs,Swasta,DKI Jakarta,Perkotaan,A,286,23,12.43,59.0,49.2,1,0,79.3
MDR00153,MMI Jawa 0153,MI,Swasta,Jawa Timur,Perkotaan,B,67,4,16.75,46.4,41.3,0,0,83.9
MDR00154,MMA Bali 0154,MA,Swasta,Bali,Pedesaan,A,254,14,18.14,64.4,19.2,1,1,80.8
MDR00155,MMI NTB 0155,MI,Swasta,NTB,Pedesaan,C,228,13,17.54,22.9,16.2,1,0,69.5
MDR00156,MMA Jawa 0156,MA,Swasta,Jawa Tengah,Pedesaan,B,117,6,19.5,46.4,2.1,1,0,78.8
MDR00157,MMA Sulawesi 0157,MA,Swasta,Sulawesi Selatan,Pedesaan,A,161,9,17.89,53.1,12.7,1,1,75.2
MDR00158,MMTs Sumatera 0158,MTs,Swasta,Sumatera Utara,3T,B,108,8,13.5,49.3,3.6,1,0,65.4
MDR00159,MMA Lampung 0159,MA,Negeri,Lampung,Perkotaan,A,327,17,19.24,83.4,66.6,1,1,83.4
MDR00160,MMTs Sulawesi 0160,MTs,Swasta,Sulawesi Selatan,3T,C,40,4,10.0,39.5,2.1,0,1,73.1
MDR00161,MMTs Sumatera 0161,MTs,Swasta,Sumatera Utara,Perkotaan,B,278,17,16.35,47.4,19.8,1,1,67.1
MDR00162,MMTs Jawa 0162,MTs,Swasta,Jawa Timur,Perkotaan,C,255,17,15.0,40.0,29.0,1,1,63.7
MDR00163,MMI Jambi 0163,MI,Swasta,Jambi,3T,C,73,6,12.17,18.8,4.3,1,0,67.4
MDR00164,MMTs Jawa 0164,MTs,Swasta,Jawa Timur,Perkotaan,C,204,13,15.69,25.4,68.3,1,0,72.7
MDR00165,MMI Jambi 0165,MI,Swasta,Jambi,Perkotaan,B,148,10,14.8,50.3,44.6,1,1,79.7
MDR00166,MMI Lampung 0166,MI,Negeri,Lampung,Perkotaan,C,240,16,15.0,43.1,61.3,1,0,74.2
MDR00167,MMI Sumatera 0167,MI,Swasta,Sumatera Barat,Perkotaan,C,192,11,17.45,47.7,12.4,1,0,64.0
MDR00168,MMA Sumatera 0168,MA,Swasta,Sumatera Utara,Perkotaan,A,291,17,17.12,49.0,79.7,1,1,78.4
MDR00169,MMI Bali 0169,MI,Negeri,Bali,Perkotaan,C,358,18,19.89,58.0,64.9,0,0,72.6
MDR00170,MMI Aceh 0170,MI,Swasta,Aceh,Pedesaan,C,201,15,13.4,32.4,16.6,0,0,66.0
MDR00171,MMI Jawa 0171,MI,Swasta,Jawa Timur,Pedesaan,A,247,12,20.58,53.1,17.5,1,1,79.0
MDR00172,MMI Bali 0172,MI,Swasta,Bali,Pedesaan,B,189,9,21.0,54.0,2.2,1,0,65.8
MDR00173,MMTs Jawa 0173,MTs,Swasta,Jawa Tengah,Perkotaan,C,191,12,15.92,40.2,66.3,1,0,78.8
MDR00174,MMTs Jawa 0174,MTs,Negeri,Jawa Barat,Perkotaan,C,316,21,15.05,61.7,68.6,1,0,78.7
MDR00175,MMTs Jawa 0175,MTs,Negeri,Jawa Tengah,Perkotaan,B,435,26,16.73,58.9,19.2,1,1,73.8
MDR00176,MMTs Sulawesi 0176,MTs,Swasta,Sulawesi Selatan,Pedesaan,Belum Terakreditasi,183,9,20.33,24.0,5.4,0,0,66.2
MDR00177,MMTs Sumatera 0177,MTs,Negeri,Sumatera Utara,Perkotaan,A,458,21,21.81,70.1,49.7,1,1,80.3
MDR00178,MMA Sumatera 0178,MA,Swasta,Sumatera Selatan,Perkotaan,B,206,14,14.71,54.0,11.7,1,1,72.1
MDR00179,MMI Sulawesi 0179,MI,Swasta,Sulawesi Selatan,Perkotaan,C,234,19,12.32,35.4,59.7,0,0,72.2
MDR00180,MMI DKI 0180,MI,Negeri,DKI Jakarta,Pedesaan,B,278,19,14.63,58.3,4.1,1,1,79.5
MDR00181,MMI Bali 0181,MI,Swasta,Bali,Perkotaan,B,150,10,15.0,32.4,56.7,1,1,77.2
MDR00182,MMA Sumatera 0182,MA,Negeri,Sumatera Barat,Perkotaan,C,197,15,13.13,62.3,54.9,1,0,80.4
MDR00183,MMI NTB 0183,MI,Swasta,NTB,Perkotaan,B,30,4,7.5,45.8,39.7,1,0,73.9
MDR00184,MMI Sumatera 0184,MI,Swasta,Sumatera Utara,Pedesaan,B,170,8,21.25,44.0,11.9,1,1,73.4
MDR00185,MMI Bali 0185,MI,Swasta,Bali,Perkotaan,C,180,13,13.85,31.5,31.9,1,0,72.2
MDR00186,MMI Jawa 0186,MI,Swasta,Jawa Tengah,Perkotaan,B,267,14,19.07,55.7,49.8,1,0,76.6
MDR00187,MMTs Kalimantan 0187,MTs,Swasta,Kalimantan Selatan,Perkotaan,B,95,4,23.75,49.9,54.3,1,0,73.6
MDR00188,MMTs Sumatera 0188,MTs,Swasta,Sumatera Barat,3T,B,138,12,11.5,40.0,4.5,1,0,62.3
MDR00189,MMI Sumatera 0189,MI,Negeri,Sumatera Barat,Pedesaan,C,252,19,13.26,57.9,16.0,1,0,66.0
MDR00190,MMTs NTB 0190,MTs,Swasta,NTB,Pedesaan,B,340,26,13.08,50.4,14.8,1,0,69.6
MDR00191,MMI Lampung 0191,MI,Swasta,Lampung,Pedesaan,C,126,7,18.0,42.0,9.4,1,1,65.2
MDR00192,MMA Banten 0192,MA,Negeri,Banten,Pedesaan,C,378,21,18.0,64.2,4.5,1,0,70.9
MDR00193,MMA Riau 0193,MA,Swasta,Riau,Pedesaan,C,242,18,13.44,33.8,3.1,1,0,70.5
MDR00194,MMA DI 0194,MA,Negeri,DI Yogyakarta,Pedesaan,B,373,27,13.81,74.3,12.1,1,1,77.8
MDR00195,MMI Sulawesi 0195,MI,Swasta,Sulawesi Selatan,Pedesaan,Belum Terakreditasi,236,11,21.45,28.6,8.7,0,0,64.7
MDR00196,MMTs Sumatera 0196,MTs,Swasta,Sumatera Utara,Perkotaan,B,173,8,21.62,46.2,48.9,1,0,75.5
MDR00197,MMA Bali 0197,MA,Negeri,Bali,Perkotaan,B,121,10,12.1,58.0,39.8,1,1,78.0
MDR00198,MMTs Jawa 0198,MTs,Negeri,Jawa Tengah,Perkotaan,Belum Terakreditasi,229,13,17.62,42.4,62.0,1,0,70.8
MDR00199,MMI Aceh 0199,MI,Swasta,Aceh,Pedesaan,A,259,19,13.63,63.1,2.6,1,0,75.0
MDR00200,MMI Lampung 0200,MI,Swasta,Lampung,Perkotaan,B,216,16,13.5,30.9,79.1,1,0,72.5
MDR00201,MMI Kalimantan 0201,MI,Swasta,Kalimantan Selatan,Pedesaan,B,235,17,13.82,40.4,10.8,1,0,75.6
MDR00202,MMTs NTB 0202,MTs,Swasta,NTB,Pedesaan,A,182,9,20.22,65.9,11.9,1,0,81.4
MDR00203,MMI Jawa 0203,MI,Swasta,Jawa Barat,Pedesaan,C,124,10,12.4,28.5,13.1,0,0,56.3
MDR00204,MMA Lampung 0204,MA,Swasta,Lampung,Perkotaan,B,111,6,18.5,54.5,50.8,1,1,75.2
MDR00205,MMI DI 0205,MI,Negeri,DI Yogyakarta,Perkotaan,B,221,12,18.42,65.1,68.4,1,0,88.0
MDR00206,MMI Jambi 0206,MI,Swasta,Jambi,Perkotaan,A,242,12,20.17,53.0,10.2,0,1,78.3
MDR00207,MMI Sulawesi 0207,MI,Swasta,Sulawesi Selatan,Perkotaan,A,91,5,18.2,61.3,56.5,1,0,79.9
MDR00208,MMI Riau 0208,MI,Swasta,Riau,3T,A,72,6,12.0,51.0,2.1,0,1,77.8
