id_guru,id_madrasah,jenis_kelamin,usia,kualifikasi,pengalaman_tahun,sertifikasi,skor_literasi_digital,jam_mengajar_per_minggu
GR000081,MDR00029,L,45,S1 PAI,21,0,53.9,23
GR000082,MDR00029,L,43,S1 PAI,18,1,46.2,20
GR000083,MDR00030,P,28,S1 Non-PAI,1,0,53.8,26
GR000084,MDR00030,L,47,S1 PAI,22,0,64.0,26
GR000085,MDR00030,P,35,S2 Non-PAI,10,1,61.5,25
GR000086,MDR00030,P,29,S1 Non-PAI,4,1,60.4,27
GR000087,MDR00031,P,23,D3/Lainnya,0,1,66.3,27
GR000088,MDR00031,L,52,S1 PAI,25,1,66.3,20
GR000089,MDR00031,L,29,S1 Non-PAI,1,1,69.7,21
GR000090,MDR00031,L,37,S2 PAI,13,1,52.8,24
GR000091,MDR00032,P,32,S1 PAI,8,1,62.2,28
GR000092,MDR00033,P,38,S1 PAI,12,1,53.9,27
GR000093,MDR00033,L,50,S1 PAI,25,0,52.1,26
GR000094,MDR00033,L,49,D3/Lainnya,21,0,34.0,23
GR000095,MDR00033,P,32,S1 PAI,8,0,63.4,22
GR000096,MDR00034,P,42,S1 PAI,14,0,63.5,22
GR000097,MDR00034,P,46,S1 Non-PAI,22,0,55.2,25
GR000098,MDR00034,P,23,S2 PAI,0,0,63.4,22
GR000099,MDR00034,P,25,S1 PAI,1,0,71.4,30
GR000100,MDR00034,P,35,S1 PAI,7,0,77.0,20
GR000101,MDR00034,P,44,S1 PAI,19,0,55.2,21
GR000102,MDR00035,L,37,S1 PAI,12,0,64.0,25
GR000103,MDR00035,P,39,S1 Non-PAI,14,0,71.6,14
GR000104,MDR00035,P,34,S1 PAI,10,0,53.7,19
GR000105,MDR00035,P,34,S1 PAI,9,1,61.0,21
GR000106,MDR00035,L,31,S1 Non-PAI,4,1,78.0,28
GR000107,MDR00036,P,40,S1 PAI,17,0,55.7,20
GR000108,MDR00037,L,49,S1 PAI,24,0,57.2,26
GR000109,MDR00037,L,33,D3/Lainnya,8,0,55.7,18
GR000110,MDR00037,P,35,S1 Non-PAI,7,0,56.1,25
GR000111,MDR00037,P,26,S1 PAI,3,0,41.1,25
GR000112,MDR00038,P,39,S1 PAI,13,1,61.3,22
GR000113,MDR00038,L,46,S1 PAI,21,1,53.5,23
GR000114,MDR00038,L,23,S1 PAI,0,0,61.4,25
GR000115,MDR00039,L,44,D3/Lainnya,20,0,62.0,22
GR000116,MDR00039,P,53,S1 PAI,27,0,66.9,23
GR000117,MDR00039,L,37,S1 PAI,9,0,67.3,28
GR000118,MDR00040,P,38,S2 PAI,10,0,72.2,20
GR000119,MDR00040,P,48,S1 PAI,24,0,53.8,21
GR000120,MDR00040,P,26,S1 PAI,0,1,49.1,27
GR000121,MDR00041,L,38,S1 Non-PAI,10,0,64.2,30
GR000122,MDR00041,L,53,S1 PAI,28,1,60.2,21
GR000123,MDR00041,L,35,S2 Non-PAI,7,1,64.1,26
GR000124,MDR00042,P,27,S2 Non-PAI,3,0,81.0,24
GR000125,MDR00042,L,32,S1 Non-PAI,8,1,61.9,28
GR000126,MDR00042,L,39,D3/Lainnya,13,0,71.6,20
GR000127,MDR00042,P,53,S1 PAI,26,1,55.8,20
GR000128,MDR00043,P,26,D3/Lainnya,0,1,60.5,17
GR000129,MDR00044,P,46,S1 PAI,18,0,47.4,26
GR000130,MDR00044,P,47,S1 Non-PAI,23,0,49.5,30
GR000131,MDR00044,L,46,S1 Non-PAI,19,1,73.6,21
GR000132,MDR00044,P,51,S1 PAI,24,1,40.1,29
GR000133,MDR00044,L,30,S1 PAI,4,0,64.7,19
GR000134,MDR00044,P,24,S1 Non-PAI,1,1,74.7,23
GR000135,MDR00044,L,44,D3/Lainnya,19,0,54.0,21
GR000136,MDR00044,L,41,S1 PAI,13,0,58.0,26
GR000137,MDR00045,L,28,S1 PAI,1,0,73.5,24
GR000138,MDR00045,L,29,S1 PAI,5,1,57.7,23
GR000139,MDR00045,L,38,S1 PAI,12,1,57.9,26
GR000140,MDR00045,P,51,S1 PAI,23,1,59.3,24
GR000141,MDR00045,L,37,S1 PAI,13,0,56.3,26
GR000142,MDR00045,L,44,S1 PAI,17,1,68.3,25
GR000143,MDR00046,P,39,S1 PAI,11,1,58.1,24
GR000144,MDR00046,L,34,S1 PAI,9,0,58.0,22
GR000145,MDR00047,P,44,S2 PAI,17,1,74.9,24
GR000146,MDR00047,P,36,S1 PAI,12,1,74.0,26
GR000147,MDR00047,P,42,S2 Non-PAI,19,1,68.2,22
GR000148,MDR00048,P,53,S1 Non-PAI,29,0,68.2,24
GR000149,MDR00048,P,39,S1 Non-PAI,16,1,61.0,26
GR000150,MDR00048,L,34,S1 Non-PAI,8,0,70.8,28
GR000151,MDR00049,L,53,S1 PAI,30,0,58.4,19
GR000152,MDR00049,L,26,S2 PAI,0,0,83.7,31
GR000153,MDR00049,P,36,S1 PAI,8,1,59.6,31
GR000154,MDR00050,L,36,S2 PAI,8,0,61.1,26
GR000155,MDR00050,L,29,S1 PAI,5,0,64.4,24
GR000156,MDR00050,L,30,S1 PAI,7,1,66.6,18
GR000157,MDR00050,P,31,S1 PAI,8,0,70.7,22
GR000158,MDR00051,P,23,S1 Non-PAI,0,0,65.3,27
GR000159,MDR00051,P,31,S1 PAI,7,0,66.1,29
GR000160,MDR00052,L,50,S1 PAI,24,1,59.5,19
GR000161,MDR00052,P,54,S1 PAI,26,0,47.4,21
GR000162,MDR00052,P,31,S1 Non-PAI,3,0,62.8,26
GR000163,MDR00052,P,41,S1 PAI,13,1,50.2,25
GR000164,MDR00052,L,26,S1 Non-PAI,0,1,69.7,26
GR000165,MDR00052,L,41,S1 PAI,17,1,59.5,29
GR000166,MDR00053,L,44,D3/Lainnya,21,1,46.2,27
GR000167,MDR00053,L,38,S1 PAI,13,1,55.4,24
GR000168,MDR00053,P,36,S1 PAI,9,1,59.5,20
GR000169,MDR00053,P,42,S1 PAI,15,0,38.1,23
GR000170,MDR00053,P,46,D3/Lainnya,18,0,60.2,24
GR000171,MDR00054,P,36,S1 PAI,9,0,67.6,25
GR000172,MDR00054,L,23,D3/Lainnya,0,1,63.6,22
GR000173,MDR00054,P,27,S1 PAI,2,1,59.9,12
GR000174,MDR00054,P,39,S1 PAI,12,1,48.2,27
GR000175,MDR00054,L,31,S2 PAI,7,0,77.6,24
GR000176,MDR00054,L,33,S1 PAI,10,1,51.6,27
GR000177,MDR00054,P,33,S1 Non-PAI,8,0,48.7,24
GR000178,MDR00054,P,33,D3/Lainnya,5,1,56.6,22
GR000179,MDR00054,P,31,S1 PAI,6,0,59.5,22
GR000180,MDR00054,L,47,S1 Non-PAI,23,0,62.5,26
GR000181,MDR00055,P,60,S1 PAI,35,1,31.8,24
GR000182,MDR00055,P,31,S1 PAI,4,1,52.8,22
GR000183,MDR00055,P,26,S1 Non-PAI,1,1,61.5,23
GR000184,MDR00055,L,52,S1 PAI,24,0,49.0,27
GR000185,MDR00056,L,50,S1 Non-PAI,22,1,51.8,30
GR000186,MDR00056,P,47,S2 PAI,20,0,67.3,22
GR000187,MDR00056,P,41,S1 PAI,15,1,56.8,20
GR000188,MDR00056,P,49,S1 PAI,21,1,55.7,24
GR000189,MDR00056,L,34,S1 PAI,8,1,54.2,24
GR000190,MDR00056,L,25,S1 PAI,0,1,57.8,24
GR000191,MDR00057,P,35,S1 PAI,8,1,47.2,31
GR000192,MDR00058,P,44,S1 PAI,20,0,47.5,29
GR000193,MDR00058,P,47,S1 Non-PAI,23,1,37.0,29
GR000194,MDR00059,P,26,S1 PAI,0,1,58.0,26
GR000195,MDR00059,L,38,S2 Non-PAI,12,1,63.3,20
GR000196,MDR00060,L,30,S1 PAI,5,1,52.3,22
GR000197,MDR00060,P,38,D3/Lainnya,13,0,56.2,26
GR000198,MDR00060,P,28,S1 PAI,4,1,70.0,29
GR000199,MDR00061,P,42,S1 PAI,16,1,68.3,17
GR000200,MDR00061,P,35,S1 PAI,7,1,45.8,22
GR000201,MDR00062,L,26,S1 PAI,0,0,60.1,24
GR000202,MDR00062,L,38,S1 Non-PAI,10,0,52.2,24
GR000203,MDR00062,L,34,S1 PAI,9,1,57.7,23
GR000204,MDR00062,P,40,S1 PAI,15,1,55.6,25
GR000205,MDR00063,P,41,S1 PAI,15,0,59.6,23
GR000206,MDR00063,P,27,S1 Non-PAI,1,0,83.6,23
GR000207,MDR00064,P,43,S1 PAI,20,1,57.9,23
GR000208,MDR00064,P,38,S1 PAI,13,0,83.9,23
GR000209,MDR00064,L,35,S1 PAI,12,0,82.8,29
GR000210,MDR00065,P,23,D3/Lainnya,0,1,76.9,20
GR000211,MDR00065,L,33,S1 Non-PAI,7,1,51.1,24
GR000212,MDR00066,P,53,S1 PAI,29,1,36.6,22
GR000213,MDR00067,P,35,S1 PAI,12,0,52.9,18
GR000214,MDR00067,L,53,S2 Non-PAI,27,1,68.8,25
GR000215,MDR00068,L,32,S1 PAI,4,0,66.6,26
GR000216,MDR00068,L,24,S1 PAI,0,0,62.2,19
GR000217,MDR00068,L,23,S1 PAI,0,0,62.9,23
GR000218,MDR00068,L,36,S1 PAI,9,0,55.7,26
GR000219,MDR00069,P,41,S1 PAI,14,0,49.4,26
GR000220,MDR00069,L,54,S1 Non-PAI,28,0,43.2,29
GR000221,MDR00069,L,50,S1 Non-PAI,24,0,50.1,23
GR000222,MDR00070,L,32,S1 PAI,6,1,60.4,14
GR000223,MDR00070,L,23,S1 PAI,0,1,52.0,25
GR000224,MDR00070,P,42,S1 PAI,18,0,65.3,21
GR000225,MDR00071,L,41,S2 Non-PAI,14,0,54.7,26
GR000226,MDR00071,L,44,S1 PAI,20,0,54.3,25
GR000227,MDR00072,L,40,S1 PAI,15,0,62.4,19
GR000228,MDR00072,L,39,S1 Non-PAI,11,1,69.0,21
GR000229,MDR00073,P,49,S1 PAI,23,1,57.3,17
GR000230,MDR00074,P,32,S1 PAI,5,1,55.3,25
GR000231,MDR00075,P,37,S1 PAI,13,1,63.6,22
GR000232,MDR00075,L,35,S1 Non-PAI,10,1,59.7,23
GR000233,MDR00076,P,40,S1 PAI,12,0,55.5,17
GR000234,MDR00076,P,40,S1 Non-PAI,14,0,62.8,28
GR000235,MDR00076,P,50,D3/Lainnya,22,0,52.0,20
GR000236,MDR00077,P,32,S1 PAI,7,0,57.2,20
GR000237,MDR00077,L,23,D3/Lainnya,0,0,59.2,27
GR000238,MDR00077,L,46,D3/Lainnya,21,0,44.5,15
GR000239,MDR00077,L,33,S1 Non-PAI,8,0,63.8,23
GR000240,MDR00077,L,43,S2 Non-PAI,20,0,68.4,23
GR000241,MDR00078,P,40,S1 Non-PAI,13,0,40.9,19
GR000242,MDR00078,P,52,S1 Non-PAI,24,0,54.6,27
GR000243,MDR00078,P,33,S1 PAI,8,1,50.7,24
GR000244,MDR00079,P,40,S1 Non-PAI,15,1,67.6,27
GR000245,MDR00079,P,34,S1 Non-PAI,6,0,53.2,25
GR000246,MDR00079,L,39,S1 Non-PAI,14,0,54.1,21
GR000247,MDR00080,L,47,S2 PAI,23,0,70.2,20
GR000248,MDR00080,L,33,S1 Non-PAI,8,1,66.0,28
GR000249,MDR00080,L,23,S1 PAI,0,0,66.5,19
GR000250,MDR00081,P,49,S1 PAI,25,0,58.7,18
GR000251,MDR00081,L,32,S1 PAI,6,0,61.0,19
GR000252,MDR00081,P,41,S1 PAI,13,0,56.8,25
GR000253,MDR00081,P,50,S1 PAI,26,0,54.1,25
GR000254,MDR00081,L,38,S2 PAI,12,0,59.0,22
GR000255,MDR00082,P,52,S1 PAI,25,0,66.7,19
GR000256,MDR00082,P,41,S1 Non-PAI,15,1,69.3,24
GR000257,MDR00082,P,38,D3/Lainnya,12,1,62.8,21
GR000258,MDR00083,P,37,S1 Non-PAI,10,0,58.6,19
GR000259,MDR00083,L,31,D3/Lainnya,4,0,57.1,19
GR000260,MDR00083,L,30,D3/Lainnya,5,0,61.5,29
GR000261,MDR00083,P,36,S1 PAI,9,0,67.6,22
GR000262,MDR00084,L,49,S1 PAI,25,0,66.9,20
GR000263,MDR00084,P,46,S1 Non-PAI,22,0,37.4,28
GR000264,MDR00084,L,43,S2 PAI,19,0,62.1,23
GR000265,MDR00085,P,48,S1 PAI,20,0,55.8,16
GR000266,MDR00085,P,29,S1 PAI,1,1,59.9,24
GR000267,MDR00085,P,44,S1 Non-PAI,19,0,45.9,26
GR000268,MDR00085,L,34,S1 PAI,7,1,71.0,21
GR000269,MDR00085,L,23,S1 PAI,0,1,67.8,13
GR000270,MDR00086,L,52,S1 Non-PAI,25,0,57.2,22
GR000271,MDR00086,L,38,S1 PAI,12,0,51.1,24
GR000272,MDR00086,L,43,S1 Non-PAI,15,0,61.9,20
GR000273,MDR00086,L,46,S2 PAI,21,0,58.8,22
GR000274,MDR00086,P,24,S1 PAI,0,1,62.9,27
GR000275,MDR00087,P,33,S1 Non-PAI,9,0,53.8,24
GR000276,MDR00088,L,48,S1 PAI,25,1,50.9,16
GR000277,MDR00088,L,25,S1 PAI,0,0,49.2,22
GR000278,MDR00088,P,40,D3/Lainnya,13,0,59.1,23
GR000279,MDR00089,P,26,S1 PAI,0,0,55.0,24
GR000280,MDR00089,P,47,S1 Non-PAI,20,0,69.2,25
GR000281,MDR00089,P,27,S1 Non-PAI,4,0,66.0,21
GR000282,MDR00090,L,30,S1 Non-PAI,3,0,66.3,20
GR000283,MDR00090,L,30,S1 PAI,4,1,56.9,22
GR000284,MDR00090,L,38,S1 PAI,12,0,42.0,14
GR000285,MDR00090,P,31,D3/Lainnya,6,0,57.9,18
GR000286,MDR00091,P,32,S1 PAI,5,0,67.5,25
GR000287,MDR00091,L,41,S1 PAI,18,0,61.8,25
GR000288,MDR00092,L,45,S1 PAI,21,0,65.2,20
GR000289,MDR00093,P,32,S1 PAI,6,0,69.0,23
GR000290,MDR00093,P,30,S1 PAI,2,0,50.2,20
GR000291,MDR00093,L,52,S1 PAI,26,0,59.6,23
GR000292,MDR00094,L,35,S1 PAI,7,0,68.3,22
GR000293,MDR00094,P,37,S1 Non-PAI,12,0,56.2,23
GR000294,MDR00094,L,46,S1 Non-PAI,18,1,56.1,28
GR000295,MDR00094,L,38,S2 PAI,14,0,67.4,22
GR000296,MDR00094,P,36,S1 PAI,10,0,59.6,25
GR000297,MDR00094,P,43,S1 PAI,19,1,70.7,21
GR000298,MDR00095,P,34,D3/Lainnya,6,0,57.4,16
GR000299,MDR00095,L,44,S1 PAI,17,0,49.7,21
GR000300,MDR00095,L,34,S1 PAI,8,1,56.3,23
GR000301,MDR00096,P,30,S1 PAI,4,0,78.5,24
GR000302,MDR00096,P,52,S2 PAI,26,0,63.8,27
GR000303,MDR00096,P,60,S1 PAI,35,0,49.4,21
GR000304,MDR00096,L,39,S1 PAI,15,0,60.5,21
GR000305,MDR00097,L,28,D3/Lainnya,3,0,55.5,25
GR000306,MDR00097,P,34,S1 PAI,8,0,76.1,18
GR000307,MDR00098,P,38,S1 PAI,11,0,57.2,28
GR000308,MDR00098,L,36,S1 PAI,12,1,60.0,26
GR000309,MDR00098,P,29,S1 Non-PAI,4,0,66.5,18
GR000310,MDR00098,L,42,S2 PAI,14,1,69.9,23
GR000311,MDR00099,L,38,S1 PAI,11,1,54.5,17
GR000312,MDR00099,P,23,S1 PAI,0,0,54.3,17
GR000313,MDR00100,P,41,S1 Non-PAI,13,1,61.5,22
GR000314,MDR00100,P,44,D3/Lainnya,16,0,51.6,21
GR000315,MDR00100,L,40,S2 PAI,15,1,61.2,31
GR000316,MDR00100,P,43,D3/Lainnya,20,1,46.8,20
GR000317,MDR00101,P,52,S1 PAI,28,0,51.3,23
GR000318,MDR00101,P,50,S2 PAI,25,0,53.3,22
GR000319,MDR00101,P,27,S1 PAI,1,1,66.1,28
GR000320,MDR00101,P,31,S1 PAI,5,0,62.4,25
GR000321,MDR00101,L,39,S1 PAI,12,1,47.0,19
GR000322,MDR00102,L,27,D3/Lainnya,2,0,70.7,27
GR000323,MDR00102,P,51,S1 Non-PAI,25,0,55.4,23
GR000324,MDR00102,P,36,S2 PAI,13,1,79.8,32
GR000325,MDR00103,P,28,S1 Non-PAI,4,1,74.0,19
GR000326,MDR00103,P,44,D3/Lainnya,19,1,62.0,27
GR000327,MDR00103,P,45,S1 PAI,22,1,67.1,18
GR000328,MDR00103,P,37,S1 PAI,10,1,63.0,23
GR000329,MDR00104,P,50,S1 Non-PAI,26,0,57.5,30
GR000330,MDR00104,P,39,S1 Non-PAI,13,1,77.7,17
GR000331,MDR00104,P,23,S1 PAI,0,1,69.8,22
GR000332,MDR00104,L,33,S1 PAI,9,1,61.5,19
GR000333,MDR00104,P,36,S1 Non-PAI,9,1,55.1,20
GR000334,MDR00105,P,34,S1 Non-PAI,7,0,54.6,27
GR000335,MDR00105,P,34,S1 Non-PAI,6,1,73.3,27
GR000336,MDR00105,P,39,S1 Non-PAI,16,1,49.8,15
GR000337,MDR00105,P,32,D3/Lainnya,5,1,61.2,33
GR000338,MDR00106,L,38,S1 PAI,14,0,58.8,20
GR000339,MDR00107,P,39,S1 PAI,16,0,69.4,24
GR000340,MDR00108,L,43,S1 PAI,16,0,54.1,25
GR000341,MDR00108,L,40,S1 PAI,17,0,70.9,21
GR000342,MDR00108,P,47,S1 Non-PAI,23,0,53.9,19
GR000343,MDR00108,P,46,S1 Non-PAI,21,1,55.4,20
GR000344,MDR00109,P,55,S1 PAI,28,0,55.6,19
GR000345,MDR00109,P,38,S1 Non-PAI,12,0,64.1,26
GR000346,MDR00109,L,23,S1 PAI,0,0,70.2,27
GR000347,MDR00110,L,40,S1 Non-PAI,15,1,51.7,24
GR000348,MDR00110,P,55,S1 PAI,32,0,54.8,24
GR000349,MDR00111,P,47,S1 PAI,19,1,65.7,25
GR000350,MDR00111,L,33,S2 PAI,5,0,55.9,28
GR000351,MDR00111,P,39,S1 PAI,11,0,45.0,23
GR000352,MDR00111,P,23,S1 PAI,0,1,51.8,26
GR000353,MDR00112,P,28,S2 Non-PAI,2,1,77.8,29
GR000354,MDR00113,P,31,S2 Non-PAI,5,0,55.6,28
GR000355,MDR00113,P,47,S1 PAI,19,1,49.8,24
GR000356,MDR00113,L,24,S1 PAI,0,1,70.6,21
GR000357,MDR00113,P,49,S1 PAI,24,0,68.0,24
GR000358,MDR00113,L,40,S1 PAI,13,1,50.4,21
GR000359,MDR00113,P,50,S1 Non-PAI,26,1,33.8,26
GR000360,MDR00113,P,36,S1 PAI,8,1,73.6,23
GR000361,MDR00113,P,48,S1 PAI,20,0,43.8,23
GR000362,MDR00114,L,29,S1 Non-PAI,3,1,57.0,28
GR000363,MDR00115,P,36,S2 PAI,13,1,66.6,22
GR000364,MDR00116,L,23,S1 PAI,0,0,59.9,21
GR000365,MDR00116,P,36,S1 PAI,11,1,51.0,26
GR000366,MDR00116,P,43,S1 PAI,20,1,60.2,24
GR000367,MDR00116,P,29,S1 PAI,1,0,76.8,21
GR000368,MDR00116,P,40,S1 Non-PAI,15,1,76.0,25
GR000369,MDR00116,P,46,S1 PAI,21,1,64.3,24
GR000370,MDR00117,P,42,S1 PAI,17,1,59.4,28
GR000371,MDR00117,L,36,S1 PAI,9,1,54.8,21
GR000372,MDR00117,P,55,S1 Non-PAI,31,1,61.0,22
GR000373,MDR00118,L,49,S1 PAI,22,0,59.5,24
GR000374,MDR00118,P,46,S1 PAI,21,0,47.2,22
GR000375,MDR00118,P,43,S1 PAI,20,0,52.3,25
GR000376,MDR00118,P,31,S2 Non-PAI,5,0,63.8,21
GR000377,MDR00118,L,23,S1 PAI,0,1,52.1,18
GR000378,MDR00119,P,23,S1 PAI,0,0,69.6,27
GR000379,MDR00119,L,26,S1 PAI,2,1,61.7,20
GR000380,MDR00120,P,48,S1 Non-PAI,22,1,52.1,22
GR000381,MDR00120,L,31,S1 Non-PAI,6,0,65.2,31
GR000382,MDR00121,P,28,D3/Lainnya,0,0,63.0,28
GR000383,MDR00121,L,40,S2 Non-PAI,16,1,66.4,26
GR000384,MDR00121,P,32,S1 PAI,5,0,72.9,20
GR000385,MDR00121,P,28,S1 PAI,3,1,70.9,17
GR000386,MDR00121,P,47,S1 Non-PAI,23,1,46.2,21
GR000387,MDR00121,P,40,S1 PAI,15,0,50.6,20
GR000388,MDR00121,P,43,S2 PAI,17,0,59.9,26
GR000389,MDR00122,L,35,S1 Non-PAI,11,1,45.0,20
GR000390,MDR00123,P,34,S2 Non-PAI,8,0,68.7,23
GR000391,MDR00123,L,30,S1 PAI,2,0,62.5,22
GR000392,MDR00123,L,43,S1 PAI,17,1,61.6,27
GR000393,MDR00124,P,46,S1 Non-PAI,22,1,44.2,26
GR000394,MDR00124,L,39,D3/Lainnya,12,0,57.3,22
GR000395,MDR00124,L,23,S1 PAI,0,0,45.6,25
GR000396,MDR00124,L,50,S1 PAI,27,0,41.3,19
GR000397,MDR00125,P,40,S1 PAI,15,1,62.0,22
GR000398,MDR00125,P,42,D3/Lainnya,17,0,54.1,27
GR000399,MDR00126,L,40,S1 PAI,12,1,47.2,28
GR000400,MDR00126,P,35,S1 Non-PAI,7,0,63.3,20
GR000401,MDR00126,L,23,S1 PAI,0,1,60.0,15
GR000402,MDR00126,L,42,S1 Non-PAI,19,1,53.1,28
GR000403,MDR00126,P,29,S1 PAI,3,1,74.9,27
GR000404,MDR00127,P,50,D3/Lainnya,25,1,40.5,30
GR000405,MDR00127,P,32,S1 Non-PAI,7,1,62.6,26
GR000406,MDR00127,L,40,S2 PAI,17,0,70.2,22
GR000407,MDR00128,P,40,S2 Non-PAI,14,1,68.8,28
GR000408,MDR00128,L,39,S2 PAI,11,1,67.6,17
GR000409,MDR00128,P,37,S2 PAI,10,1,62.9,29
GR000410,MDR00128,L,56,S1 Non-PAI,31,1,62.0,22
GR000411,MDR00128,L,39,S1 PAI,12,0,61.5,29
GR000412,MDR00129,P,35,S1 Non-PAI,9,1,67.4,25
GR000413,MDR00129,L,36,S1 PAI,11,0,65.3,23
GR000414,MDR00130,L,25,S1 PAI,0,0,76.5,20
GR000415,MDR00130,P,35,S1 PAI,11,1,62.5,24
GR000416,MDR00131,L,40,S1 PAI,15,1,53.6,23
GR000417,MDR00131,L,38,S1 Non-PAI,10,0,57.9,23
GR000418,MDR00131,P,44,S1 Non-PAI,18,0,52.6,24
GR000419,MDR00131,L,37,D3/Lainnya,9,0,47.5,20
