id_madrasah,kelas,rumpun_pai,rata_nilai,persen_tuntas,n_siswa
MDR00002,2,Bahasa Arab,78.7,90.6,50
MDR00002,3,Akidah-Akhlak,84.8,100,44
MDR00002,3,Fikih,82.0,96.1,53
MDR00002,3,SKI,79.9,100,50
MDR00002,3,Quran-Hadis,75.3,83.0,54
MDR00002,3,Bahasa Arab,80.1,100,51
MDR00002,4,Akidah-Akhlak,77.9,94.7,55
MDR00002,4,Fikih,76.4,90.6,45
MDR00002,4,SKI,77.4,100,53
MDR00002,4,Quran-Hadis,81.0,98.9,56
MDR00002,4,Bahasa Arab,79.3,100,51
MDR00002,5,Akidah-Akhlak,79.8,99.0,51
MDR00002,5,Fikih,80.0,100,44
MDR00002,5,SKI,75.3,90.1,44
MDR00002,5,Quran-Hadis,79.0,100,47
MDR00002,5,Bahasa Arab,74.1,86.8,51
MDR00002,6,Akidah-Akhlak,78.3,90.9,53
MDR00002,6,Fikih,77.5,93.3,53
MDR00002,6,SKI,77.4,100,49
MDR00002,6,Quran-Hadis,81.8,100,55
MDR00002,6,Bahasa Arab,74.0,92.1,45
MDR00003,10,Akidah-Akhlak,73.9,84.5,47
MDR00003,10,Fikih,74.9,94.1,47
MDR00003,10,SKI,78.0,88.0,57
MDR00003,10,Quran-Hadis,70.1,72.8,53
MDR00003,10,Bahasa Arab,73.1,82.9,52
MDR00003,11,Akidah-Akhlak,72.8,80.8,45
MDR00003,11,Fikih,72.8,78.3,47
MDR00003,11,SKI,72.0,72.7,47
MDR00003,11,Quran-Hadis,76.7,94.9,43
MDR00003,11,Bahasa Arab,75.2,88.7,45
MDR00003,12,Akidah-Akhlak,77.1,100,46
MDR00003,12,Fikih,73.3,84.1,52
MDR00003,12,SKI,73.3,90.8,53
MDR00003,12,Quran-Hadis,73.6,88.1,51
MDR00003,12,Bahasa Arab,73.0,86.1,49
MDR00004,7,Akidah-Akhlak,70.4,69.0,94
MDR00004,7,Fikih,71.1,77.9,100
MDR00004,7,SKI,77.2,93.6,102
MDR00004,7,Quran-Hadis,73.2,76.6,80
MDR00004,7,Bahasa Arab,73.8,73.8,95
MDR00004,8,Akidah-Akhlak,74.4,89.1,85
MDR00004,8,Fikih,74.1,83.4,96
MDR00004,8,SKI,68.3,69.0,90
MDR00004,8,Quran-Hadis,70.1,80.1,87
MDR00004,8,Bahasa Arab,67.5,71.6,81
MDR00004,9,Akidah-Akhlak,68.8,68.5,89
MDR00004,9,Fikih,71.4,72.9,101
MDR00004,9,SKI,70.0,89.3,97
MDR00004,9,Quran-Hadis,73.2,81.4,97
MDR00004,9,Bahasa Arab,74.9,83.0,94
MDR00005,1,Akidah-Akhlak,68.7,70.2,41
MDR00005,1,Fikih,70.4,75.0,34
MDR00005,1,SKI,65.7,61.4,36
MDR00005,1,Quran-Hadis,71.0,83.6,43
MDR00005,1,Bahasa Arab,69.2,73.3,42
MDR00005,2,Akidah-Akhlak,69.4,76.6,36
MDR00005,2,Fikih,74.3,85.7,35
MDR00005,2,SKI,73.7,87.9,45
MDR00005,2,Quran-Hadis,76.0,88.7,38
MDR00005,2,Bahasa Arab,72.6,84.2,44
MDR00005,3,Akidah-Akhlak,74.5,92.3,41
MDR00005,3,Fikih,70.2,77.5,43
MDR00005,3,SKI,69.6,74.1,42
MDR00005,3,Quran-Hadis,71.1,81.9,44
MDR00005,3,Bahasa Arab,71.2,72.9,34
MDR00005,4,Akidah-Akhlak,71.8,75.9,43
MDR00005,4,Fikih,69.7,74.6,44
MDR00005,4,SKI,70.8,77.4,38
MDR00005,4,Quran-Hadis,68.2,77.6,44
MDR00005,4,Bahasa Arab,72.1,73.1,44
MDR00005,5,Akidah-Akhlak,72.7,83.6,37
MDR00005,5,Fikih,74.6,90.2,38
MDR00005,5,SKI,67.6,63.9,38
MDR00005,5,Quran-Hadis,75.0,84.4,43
MDR00005,5,Bahasa Arab,65.1,66.3,34
MDR00005,6,Akidah-Akhlak,74.3,88.2,43
MDR00005,6,Fikih,70.2,71.6,41
MDR00005,6,SKI,70.3,73.5,37
MDR00005,6,Quran-Hadis,69.8,77.3,35
MDR00005,6,Bahasa Arab,66.1,66.7,41
MDR00006,7,Akidah-Akhlak,65.5,66.8,83
MDR00006,7,Fikih,57.9,36.8,101
MDR00006,7,SKI,63.1,59.6,98
MDR00006,7,Quran-Hadis,61.0,55.4,94
MDR00006,7,Bahasa Arab,61.1,52.3,106
MDR00006,8,Akidah-Akhlak,65.8,61.2,96
MDR00006,8,Fikih,56.6,37.4,88
MDR00006,8,SKI,57.5,50.8,104
MDR00006,8,Quran-Hadis,56.8,41.9,95
MDR00006,8,Bahasa Arab,62.4,58.0,88
MDR00006,9,Akidah-Akhlak,61.8,45.9,101
MDR00006,9,Fikih,64.1,56.1,99
MDR00006,9,SKI,54.4,42.1,91
MDR00006,9,Quran-Hadis,64.9,61.7,88
MDR00006,9,Bahasa Arab,58.4,40.7,85
MDR00007,1,Akidah-Akhlak,79.1,90.4,37
MDR00007,1,Fikih,76.8,96.7,43
MDR00007,1,SKI,76.7,98.4,44
MDR00007,1,Quran-Hadis,73.2,73.4,39
MDR00007,1,Bahasa Arab,77.6,92.1,35
MDR00007,2,Akidah-Akhlak,78.6,96.4,44
MDR00007,2,Fikih,71.4,74.9,37
MDR00007,2,SKI,75.6,89.2,44
MDR00007,2,Quran-Hadis,74.1,75.7,45
MDR00007,2,Bahasa Arab,75.2,85.3,42
MDR00007,3,Akidah-Akhlak,77.4,86.6,43
MDR00007,3,Fikih,75.3,90.2,34
MDR00007,3,SKI,78.6,88.3,39
MDR00007,3,Quran-Hadis,78.5,100,44
MDR00007,3,Bahasa Arab,71.8,75.5,40
MDR00007,4,Akidah-Akhlak,76.7,96.6,46
MDR00007,4,Fikih,78.8,100,39
MDR00007,4,SKI,77.1,89.2,42
MDR00007,4,Quran-Hadis,78.4,100,40
MDR00007,4,Bahasa Arab,71.4,82.4,34
MDR00007,5,Akidah-Akhlak,79.0,100,41
MDR00007,5,Fikih,81.5,100,38
MDR00007,5,SKI,69.9,78.8,43
MDR00007,5,Quran-Hadis,74.3,90.3,40
MDR00007,5,Bahasa Arab,70.1,79.4,34
MDR00007,6,Akidah-Akhlak,77.8,92.1,39
MDR00007,6,Fikih,69.7,68.9,36
MDR00007,6,SKI,76.4,89.1,44
MDR00007,6,Quran-Hadis,75.6,98.9,42
MDR00007,6,Bahasa Arab,76.8,95.0,41
MDR00008,10,Akidah-Akhlak,68.3,70.9,61
MDR00008,10,Fikih,68.8,75.2,65
MDR00008,10,SKI,64.1,70.4,75
MDR00008,10,Quran-Hadis,68.9,73.3,66
MDR00008,10,Bahasa Arab,64.3,57.5,75
MDR00008,11,Akidah-Akhlak,72.1,80.6,60
MDR00008,11,Fikih,65.6,62.9,70
MDR00008,11,SKI,66.8,68.8,70
MDR00008,11,Quran-Hadis,73.2,87.8,76
MDR00008,11,Bahasa Arab,63.6,66.1,63
MDR00008,12,Akidah-Akhlak,70.0,73.8,71
MDR00008,12,Fikih,69.4,81.8,61
MDR00008,12,SKI,64.9,57.3,76
MDR00008,12,Quran-Hadis,62.2,50.5,68
MDR00008,12,Bahasa Arab,63.1,56.9,72
MDR00009,1,Akidah-Akhlak,76.7,96.4,20
MDR00009,1,Fikih,78.1,97.9,24
MDR00009,1,SKI,75.8,85.9,20
MDR00009,1,Quran-Hadis,70.5,72.9,24
MDR00009,1,Bahasa Arab,76.9,91.6,24
MDR00009,2,Akidah-Akhlak,78.0,90.4,21
MDR00009,2,Fikih,80.7,100,23
MDR00009,2,SKI,74.5,90.4,22
MDR00009,2,Quran-Hadis,73.9,78.9,21
MDR00009,2,Bahasa Arab,74.4,80.5,22
MDR00009,3,Akidah-Akhlak,72.5,81.7,25
MDR00009,3,Fikih,83.6,100,24
MDR00009,3,SKI,74.1,83.0,22
MDR00009,3,Quran-Hadis,78.9,96.9,25
MDR00009,3,Bahasa Arab,77.4,95.7,21
MDR00009,4,Akidah-Akhlak,81.4,100,25
MDR00009,4,Fikih,78.6,98.3,25
MDR00009,4,SKI,79.9,95.1,25
MDR00009,4,Quran-Hadis,77.7,88.5,25
MDR00009,4,Bahasa Arab,72.6,88.1,22
MDR00009,5,Akidah-Akhlak,77.6,100,20
MDR00009,5,Fikih,77.9,96.5,23
MDR00009,5,SKI,79.7,91.1,21
MDR00009,5,Quran-Hadis,79.3,100,19
MDR00009,5,Bahasa Arab,75.2,86.1,25
MDR00009,6,Akidah-Akhlak,80.4,100,24
MDR00009,6,Fikih,74.5,84.8,24
MDR00009,6,SKI,75.1,83.0,20
MDR00009,6,Quran-Hadis,80.9,100,20
MDR00009,6,Bahasa Arab,78.7,96.0,19
MDR00010,1,Akidah-Akhlak,64.9,73.5,24
MDR00010,1,Fikih,67.5,67.4,28
MDR00010,1,SKI,62.9,58.4,24
MDR00010,1,Quran-Hadis,62.5,52.0,25
MDR00010,1,Bahasa Arab,64.0,68.2,24
MDR00010,2,Akidah-Akhlak,64.6,66.0,29
MDR00010,2,Fikih,65.6,65.8,24
MDR00010,2,SKI,65.9,61.6,26
MDR00010,2,Quran-Hadis,68.3,69.9,29
MDR00010,2,Bahasa Arab,64.9,60.5,31
MDR00010,3,Akidah-Akhlak,65.6,66.4,30
MDR00010,3,Fikih,67.1,63.0,28
MDR00010,3,SKI,63.4,62.0,23
MDR00010,3,Quran-Hadis,64.7,63.7,23
MDR00010,3,Bahasa Arab,61.0,51.7,27
MDR00010,4,Akidah-Akhlak,62.9,50.0,27
MDR00010,4,Fikih,63.5,55.9,26
MDR00010,4,SKI,61.4,52.0,26
MDR00010,4,Quran-Hadis,64.7,65.3,25
MDR00010,4,Bahasa Arab,67.9,68.2,27
MDR00010,5,Akidah-Akhlak,61.6,54.5,31
MDR00010,5,Fikih,60.9,41.8,25
MDR00010,5,SKI,63.2,54.2,25
MDR00010,5,Quran-Hadis,59.9,47.4,29
MDR00010,5,Bahasa Arab,62.5,62.7,26
MDR00010,6,Akidah-Akhlak,68.9,72.7,30
MDR00010,6,Fikih,64.2,56.3,28
MDR00010,6,SKI,69.9,75.0,29
MDR00010,6,Quran-Hadis,66.3,62.2,30
MDR00010,6,Bahasa Arab,63.8,62.0,29
MDR00011,1,Akidah-Akhlak,76.9,98.5,24
MDR00011,1,Fikih,75.6,90.7,22
MDR00011,1,SKI,72.4,92.1,19
MDR00011,1,Quran-Hadis,70.4,85.0,24
MDR00011,1,Bahasa Arab,66.6,59.2,21
MDR00011,2,Akidah-Akhlak,73.4,80.7,21
MDR00011,2,Fikih,75.8,77.2,18
MDR00011,2,SKI,72.4,84.7,18
MDR00011,2,Quran-Hadis,73.4,83.7,19
MDR00011,2,Bahasa Arab,72.6,82.8,21
MDR00011,3,Akidah-Akhlak,73.5,83.2,23
MDR00011,3,Fikih,68.9,70.2,19
MDR00011,3,SKI,70.1,75.0,23
MDR00011,3,Quran-Hadis,77.1,97.8,24
MDR00011,3,Bahasa Arab,68.0,64.7,21
MDR00011,4,Akidah-Akhlak,74.1,84.9,19
MDR00011,4,Fikih,74.2,93.0,24
MDR00011,4,SKI,72.3,76.9,23
MDR00011,4,Quran-Hadis,72.8,86.2,22
MDR00011,4,Bahasa Arab,70.6,85.8,22
MDR00011,5,Akidah-Akhlak,72.9,77.9,21
MDR00011,5,Fikih,73.7,80.3,23
MDR00011,5,SKI,70.6,79.7,22
MDR00011,5,Quran-Hadis,76.2,98.3,20
MDR00011,5,Bahasa Arab,68.5,82.9,23
MDR00011,6,Akidah-Akhlak,68.2,75.8,24
MDR00011,6,Fikih,71.7,81.6,23
MDR00011,6,SKI,73.0,89.7,23
MDR00011,6,Quran-Hadis,70.2,86.5,20
MDR00011,6,Bahasa Arab,72.8,86.1,24
MDR00012,7,Akidah-Akhlak,62.4,54.7,112
MDR00012,7,Fikih,66.0,53.6,125
MDR00012,7,SKI,67.2,65.8,110
MDR00012,7,Quran-Hadis,65.5,56.4,128
MDR00012,7,Bahasa Arab,66.0,75.1,136
MDR00012,8,Akidah-Akhlak,71.3,85.1,114
MDR00012,8,Fikih,68.3,76.4,131
MDR00012,8,SKI,63.2,65.2,112
MDR00012,8,Quran-Hadis,62.7,51.8,125
MDR00012,8,Bahasa Arab,70.5,80.4,134
MDR00012,9,Akidah-Akhlak,68.6,74.4,112
MDR00012,9,Fikih,64.9,66.2,109
MDR00012,9,SKI,60.9,58.3,110
MDR00012,9,Quran-Hadis,72.6,84.5,126
MDR00012,9,Bahasa Arab,65.2,57.9,124
MDR00013,7,Akidah-Akhlak,81.1,100,74
MDR00013,7,Fikih,79.7,100,72
MDR00013,7,SKI,78.7,89.4,70
MDR00013,7,Quran-Hadis,80.4,100,69
MDR00013,7,Bahasa Arab,79.0,99.1,68
MDR00013,8,Akidah-Akhlak,81.5,100,70
MDR00013,8,Fikih,74.3,93.2,67
MDR00013,8,SKI,76.6,95.4,69
MDR00013,8,Quran-Hadis,77.5,100,78
MDR00013,8,Bahasa Arab,75.6,90.0,80
MDR00013,9,Akidah-Akhlak,81.2,100,89
MDR00013,9,Fikih,80.7,100,84
MDR00013,9,SKI,73.7,88.8,88
MDR00013,9,Quran-Hadis,77.7,89.6,74
MDR00013,9,Bahasa Arab,74.4,78.6,88
MDR00014,1,Akidah-Akhlak,63.0,59.1,25
MDR00014,1,Fikih,57.0,47.1,24
MDR00014,1,SKI,62.8,59.3,26
MDR00014,1,Quran-Hadis,65.3,61.2,22
MDR00014,1,Bahasa Arab,58.2,43.2,20
MDR00014,2,Akidah-Akhlak,66.2,67.2,27
MDR00014,2,Fikih,61.1,54.8,21
MDR00014,2,SKI,60.3,54.8,22
MDR00014,2,Quran-Hadis,57.3,41.1,23
MDR00014,2,Bahasa Arab,55.8,47.1,26
MDR00014,3,Akidah-Akhlak,59.7,46.4,23
MDR00014,3,Fikih,65.0,53.7,22
MDR00014,3,SKI,62.0,54.8,20
MDR00014,3,Quran-Hadis,63.9,51.9,24
MDR00014,3,Bahasa Arab,59.9,42.4,22
MDR00014,4,Akidah-Akhlak,65.2,63.3,21
MDR00014,4,Fikih,69.3,73.8,21
MDR00014,4,SKI,55.3,35.7,25
MDR00014,4,Quran-Hadis,65.3,71.8,23
MDR00014,4,Bahasa Arab,61.6,50.4,20
MDR00014,5,Akidah-Akhlak,60.1,48.7,22
MDR00014,5,Fikih,66.4,62.5,25
MDR00014,5,SKI,56.3,40.6,23
MDR00014,5,Quran-Hadis,63.7,55.2,25
MDR00014,5,Bahasa Arab,59.7,47.9,22
MDR00014,6,Akidah-Akhlak,59.9,45.0,22
MDR00014,6,Fikih,66.3,66.3,27
MDR00014,6,SKI,58.3,44.3,21
MDR00014,6,Quran-Hadis,61.6,50.7,23
MDR00014,6,Bahasa Arab,59.7,42.9,21
MDR00015,1,Akidah-Akhlak,78.7,90.7,39
MDR00015,1,Fikih,76.2,86.6,49
MDR00015,1,SKI,75.2,85.2,43
MDR00015,1,Quran-Hadis,79.2,99.9,39
MDR00015,1,Bahasa Arab,77.8,91.8,48
MDR00015,2,Akidah-Akhlak,82.8,100,40
MDR00015,2,Fikih,73.2,80.8,44
MDR00015,2,SKI,74.9,86.0,48
MDR00015,2,Quran-Hadis,81.7,100,42
MDR00015,2,Bahasa Arab,73.3,77.4,47
MDR00015,3,Akidah-Akhlak,74.6,85.5,38
MDR00015,3,Fikih,75.6,100,42
MDR00015,3,SKI,75.8,76.6,48
MDR00015,3,Quran-Hadis,72.6,91.5,45
MDR00015,3,Bahasa Arab,75.1,90.0,40
MDR00015,4,Akidah-Akhlak,78.5,99.6,40
MDR00015,4,Fikih,76.3,92.5,39
MDR00015,4,SKI,75.0,84.9,48
MDR00015,4,Quran-Hadis,78.5,100,47
MDR00015,4,Bahasa Arab,76.2,96.0,49
MDR00015,5,Akidah-Akhlak,79.5,95.5,50
MDR00015,5,Fikih,78.3,98.1,40
MDR00015,5,SKI,70.6,76.5,46
MDR00015,5,Quran-Hadis,71.9,75.4,42
MDR00015,5,Bahasa Arab,68.2,75.6,40
MDR00015,6,Akidah-Akhlak,76.6,84.0,43
MDR00015,6,Fikih,82.9,100,50
MDR00015,6,SKI,77.5,93.0,43
MDR00015,6,Quran-Hadis,74.0,82.6,37
MDR00015,6,Bahasa Arab,79.6,100,43
MDR00016,1,Akidah-Akhlak,71.4,86.3,24
MDR00016,1,Fikih,68.3,66.6,26
MDR00016,1,SKI,71.4,77.7,21
MDR00016,1,Quran-Hadis,69.6,71.4,24
MDR00016,1,Bahasa Arab,79.6,95.2,21
MDR00016,2,Akidah-Akhlak,71.8,83.5,21
MDR00016,2,Fikih,73.3,87.0,23
MDR00016,2,SKI,66.7,73.0,22
MDR00016,2,Quran-Hadis,72.0,78.1,20
MDR00016,2,Bahasa Arab,74.9,80.7,21
MDR00016,3,Akidah-Akhlak,71.2,77.4,26
MDR00016,3,Fikih,68.1,64.7,24
MDR00016,3,SKI,70.0,76.8,21
MDR00016,3,Quran-Hadis,72.7,89.9,25
MDR00016,3,Bahasa Arab,71.8,74.7,20
MDR00016,4,Akidah-Akhlak,73.5,80.8,22
MDR00016,4,Fikih,67.7,66.6,23
MDR00016,4,SKI,66.4,70.5,22
MDR00016,4,Quran-Hadis,72.8,88.8,25
MDR00016,4,Bahasa Arab,71.9,82.1,25
MDR00016,5,Akidah-Akhlak,76.4,91.9,25
MDR00016,5,Fikih,74.0,85.2,20
MDR00016,5,SKI,71.3,83.8,25
MDR00016,5,Quran-Hadis,76.2,84.9,25
MDR00016,5,Bahasa Arab,70.0,75.1,25
MDR00016,6,Akidah-Akhlak,71.9,81.9,26
MDR00016,6,Fikih,70.4,83.8,22
MDR00016,6,SKI,67.1,71.2,26
MDR00016,6,Quran-Hadis,68.6,73.0,20
MDR00016,6,Bahasa Arab,70.3,78.6,24
MDR00017,1,Akidah-Akhlak,76.4,91.8,39
MDR00017,1,Fikih,78.6,92.5,44
MDR00017,1,SKI,76.1,94.6,44
MDR00017,1,Quran-Hadis,80.2,99.3,48
MDR00017,1,Bahasa Arab,75.8,89.6,43
MDR00017,2,Akidah-Akhlak,79.7,100,46
MDR00017,2,Fikih,76.7,85.7,40
MDR00017,2,SKI,73.8,91.6,42
MDR00017,2,Quran-Hadis,81.7,100,47
MDR00017,2,Bahasa Arab,74.9,85.7,42
MDR00017,3,Akidah-Akhlak,76.3,97.3,41
MDR00017,3,Fikih,73.3,78.9,45
MDR00017,3,SKI,72.9,83.6,48
MDR00017,3,Quran-Hadis,77.4,88.1,45
MDR00017,3,Bahasa Arab,73.2,84.2,48
MDR00017,4,Akidah-Akhlak,76.5,87.6,36
MDR00017,4,Fikih,78.1,91.2,42
MDR00017,4,SKI,71.4,83.5,38
MDR00017,4,Quran-Hadis,75.2,87.6,44
MDR00017,4,Bahasa Arab,73.2,83.4,37
MDR00017,5,Akidah-Akhlak,76.9,97.2,44
MDR00017,5,Fikih,78.8,100,42
MDR00017,5,SKI,72.5,75.2,46
MDR00017,5,Quran-Hadis,79.7,96.9,43
MDR00017,5,Bahasa Arab,68.7,63.7,41
MDR00017,6,Akidah-Akhlak,72.9,86.6,38
MDR00017,6,Fikih,77.5,98.2,44
MDR00017,6,SKI,71.6,74.6,37
MDR00017,6,Quran-Hadis,74.6,97.3,47
MDR00017,6,Bahasa Arab,76.4,95.9,48
MDR00018,1,Akidah-Akhlak,66.9,68.2,17
MDR00018,1,Fikih,66.7,74.4,17
MDR00018,1,SKI,62.9,55.8,19
MDR00018,1,Quran-Hadis,62.3,60.7,18
MDR00018,1,Bahasa Arab,67.1,66.0,17
MDR00018,2,Akidah-Akhlak,67.9,84.3,16
MDR00018,2,Fikih,67.3,79.0,17
MDR00018,2,SKI,60.1,48.7,16
MDR00018,2,Quran-Hadis,67.0,66.2,18
MDR00018,2,Bahasa Arab,66.9,60.1,19
MDR00018,3,Akidah-Akhlak,65.1,62.1,20
MDR00018,3,Fikih,70.8,82.0,18
MDR00018,3,SKI,61.0,51.9,15
MDR00018,3,Quran-Hadis,70.2,72.8,20
MDR00018,3,Bahasa Arab,64.6,53.1,16
MDR00018,4,Akidah-Akhlak,60.9,54.2,19
MDR00018,4,Fikih,63.5,57.8,15
MDR00018,4,SKI,60.3,54.2,19
MDR00018,4,Quran-Hadis,65.1,53.4,19
MDR00018,4,Bahasa Arab,62.8,59.8,17
MDR00018,5,Akidah-Akhlak,67.3,67.0,18
MDR00018,5,Fikih,68.4,79.1,16
MDR00018,5,SKI,58.7,47.0,19
MDR00018,5,Quran-Hadis,66.4,66.1,20
MDR00018,5,Bahasa Arab,64.2,61.8,18
MDR00018,6,Akidah-Akhlak,66.6,63.5,20
MDR00018,6,Fikih,64.5,56.2,18
MDR00018,6,SKI,63.3,52.9,18
MDR00018,6,Quran-Hadis,66.2,66.1,17
MDR00018,6,Bahasa Arab,60.1,47.5,18
MDR00019,1,Akidah-Akhlak,82.4,100,29
MDR00019,1,Fikih,81.7,100,27
MDR00019,1,SKI,73.7,82.0,33
MDR00019,1,Quran-Hadis,84.8,100,28
MDR00019,1,Bahasa Arab,80.3,100,32
MDR00019,2,Akidah-Akhlak,85.4,100,29
MDR00019,2,Fikih,83.9,100,27
MDR00019,2,SKI,80.2,92.1,29
MDR00019,2,Quran-Hadis,82.3,100,29
MDR00019,2,Bahasa Arab,81.6,93.8,27
MDR00019,3,Akidah-Akhlak,80.7,100,34
MDR00019,3,Fikih,81.9,95.0,28
MDR00019,3,SKI,77.1,87.8,35
MDR00019,3,Quran-Hadis,84.0,100,30
MDR00019,3,Bahasa Arab,79.0,97.1,28
MDR00019,4,Akidah-Akhlak,89.5,100,35
MDR00019,4,Fikih,82.0,100,32
MDR00019,4,SKI,80.1,100,34
MDR00019,4,Quran-Hadis,82.2,100,31
MDR00019,4,Bahasa Arab,75.8,86.4,30
MDR00019,5,Akidah-Akhlak,83.4,100,31
MDR00019,5,Fikih,80.1,85.6,30
MDR00019,5,SKI,76.9,87.6,28
MDR00019,5,Quran-Hadis,83.8,100,26
MDR00019,5,Bahasa Arab,80.5,97.1,34
MDR00019,6,Akidah-Akhlak,81.9,100,27
MDR00019,6,Fikih,84.9,100,33
MDR00019,6,SKI,85.3,100,32
MDR00019,6,Quran-Hadis,84.0,100,28
MDR00019,6,Bahasa Arab,79.1,95.6,26
MDR00020,1,Akidah-Akhlak,85.9,100,58
MDR00020,1,Fikih,82.1,100,57
MDR00020,1,SKI,81.5,100,66
MDR00020,1,Quran-Hadis,82.5,99.0,52
MDR00020,1,Bahasa Arab,82.9,100,52
MDR00020,2,Akidah-Akhlak,79.4,99.3,54
MDR00020,2,Fikih,85.2,100,55
MDR00020,2,SKI,79.7,99.1,51
MDR00020,2,Quran-Hadis,83.2,100,67
MDR00020,2,Bahasa Arab,83.7,100,67
MDR00020,3,Akidah-Akhlak,86.1,100,63
MDR00020,3,Fikih,86.3,100,60
MDR00020,3,SKI,83.0,100,60
MDR00020,3,Quran-Hadis,82.9,100,65
MDR00020,3,Bahasa Arab,79.7,100,58
MDR00020,4,Akidah-Akhlak,83.7,97.0,68
MDR00020,4,Fikih,73.3,76.3,50
MDR00020,4,SKI,79.2,85.6,63
MDR00020,4,Quran-Hadis,86.0,100,62
MDR00020,4,Bahasa Arab,80.4,98.7,63
MDR00020,5,Akidah-Akhlak,87.9,100,52
MDR00020,5,Fikih,84.6,100,68
MDR00020,5,SKI,80.1,98.0,59
MDR00020,5,Quran-Hadis,85.8,100,63
MDR00020,5,Bahasa Arab,82.8,100,55
MDR00020,6,Akidah-Akhlak,88.2,100,55
MDR00020,6,Fikih,83.1,100,52
MDR00020,6,SKI,87.1,100,63
MDR00020,6,Quran-Hadis,85.0,100,54
MDR00020,6,Bahasa Arab,86.0,100,68
MDR00021,1,Akidah-Akhlak,73.0,71.9,13
MDR00021,1,Fikih,75.8,94.1,16
MDR00021,1,SKI,76.7,85.6,12
MDR00021,1,Quran-Hadis,75.7,94.5,15
MDR00021,1,Bahasa Arab,69.9,81.6,12
MDR00021,2,Akidah-Akhlak,76.1,97.0,13
MDR00021,2,Fikih,76.3,98.1,16
MDR00021,2,SKI,74.6,90.0,15
MDR00021,2,Quran-Hadis,72.4,79.7,13
MDR00021,2,Bahasa Arab,71.6,82.0,13
MDR00021,3,Akidah-Akhlak,75.9,92.3,14
MDR00021,3,Fikih,70.0,71.4,14
MDR00021,3,SKI,72.2,83.2,15
MDR00021,3,Quran-Hadis,74.6,80.0,12
MDR00021,3,Bahasa Arab,73.6,87.5,13
MDR00021,4,Akidah-Akhlak,77.4,91.6,13
MDR00021,4,Fikih,74.9,89.1,13
MDR00021,4,SKI,74.1,86.2,15
MDR00021,4,Quran-Hadis,76.5,90.1,12
MDR00021,4,Bahasa Arab,75.1,100,15
MDR00021,5,Akidah-Akhlak,74.9,88.3,12
MDR00021,5,Fikih,74.9,80.3,13
MDR00021,5,SKI,71.4,70.8,15
MDR00021,5,Quran-Hadis,70.5,77.2,13
MDR00021,5,Bahasa Arab,72.3,81.1,13
MDR00021,6,Akidah-Akhlak,72.1,73.5,12
MDR00021,6,Fikih,71.0,79.6,12
MDR00021,6,SKI,70.8,79.1,13
MDR00021,6,Quran-Hadis,73.2,85.2,12
MDR00021,6,Bahasa Arab,71.9,72.2,13
MDR00022,10,Akidah-Akhlak,72.7,85.7,31
MDR00022,10,Fikih,69.9,81.1,28
MDR00022,10,SKI,65.2,62.6,30
MDR00022,10,Quran-Hadis,71.5,78.9,36
MDR00022,10,Bahasa Arab,70.3,76.3,35
MDR00022,11,Akidah-Akhlak,70.8,74.9,35
MDR00022,11,Fikih,70.9,70.7,33
MDR00022,11,SKI,63.2,54.4,31
MDR00022,11,Quran-Hadis,75.0,93.9,29
MDR00022,11,Bahasa Arab,74.9,88.8,35
